"dataset","neighborhood","topology","rlen","radius","alpha_start","alpha_end","n_folds","mean_time_s","total_time_s"
"scene","gaussian","hexagonal",1000,1.5,0.05,0.005,3,10.51,31.53
"scene","gaussian","hexagonal",1000,1.5,0.05,0.01,3,11.15,33.45
"scene","gaussian","hexagonal",1000,1.5,0.1,0.005,3,10.8266666666667,32.48
"scene","gaussian","hexagonal",1000,1.5,0.1,0.01,3,11.4666666666667,34.4
"scene","gaussian","rectangular",100,1,0.05,0.005,3,8.87666666666667,26.63
"scene","gaussian","rectangular",100,1,0.05,0.01,3,9.54,28.62
"scene","gaussian","rectangular",100,1,0.1,0.005,3,9.20666666666667,27.62
"scene","gaussian","rectangular",100,1,0.1,0.01,3,9.87666666666667,29.63
"scene","gaussian","rectangular",100,1.5,0.05,0.005,3,9.04333333333333,27.13
"scene","gaussian","rectangular",100,1.5,0.05,0.01,3,9.71,29.13
"scene","gaussian","rectangular",100,1.5,0.1,0.005,3,9.37333333333333,28.12
"scene","gaussian","rectangular",100,1.5,0.1,0.01,3,10.0333333333333,30.1
"scene","gaussian","rectangular",500,1,0.05,0.005,3,8.93333333333333,26.8
"scene","gaussian","rectangular",500,1,0.05,0.01,3,9.59333333333333,28.78
"scene","gaussian","rectangular",500,1,0.1,0.005,3,9.26333333333333,27.79
"scene","gaussian","rectangular",500,1,0.1,0.01,3,9.92666666666667,29.78
"scene","gaussian","rectangular",500,1.5,0.05,0.005,3,9.1,27.3
"scene","gaussian","rectangular",500,1.5,0.05,0.01,3,9.76,29.28
"scene","gaussian","rectangular",500,1.5,0.1,0.005,3,9.42333333333333,28.27
"scene","gaussian","rectangular",500,1.5,0.1,0.01,3,10.0866666666667,30.26
"scene","gaussian","rectangular",1000,1,0.05,0.005,3,9.02333333333333,27.07
"scene","gaussian","rectangular",1000,1,0.05,0.01,3,9.69,29.07
"scene","gaussian","rectangular",1000,1,0.1,0.005,3,9.35333333333333,28.06
"scene","gaussian","rectangular",1000,1,0.1,0.01,3,10.02,30.06
"scene","gaussian","rectangular",1000,1.5,0.05,0.005,3,9.19,27.57
"scene","gaussian","rectangular",1000,1.5,0.05,0.01,3,9.85333333333333,29.56
"scene","gaussian","rectangular",1000,1.5,0.1,0.005,3,9.52333333333333,28.57
"scene","gaussian","rectangular",1000,1.5,0.1,0.01,3,10.18,30.54
