"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val","iter_time_s"
"scene",1,"bubble","hexagonal","2x2",1000,1.5,0.05,0.01,0,0.379373404925411,7.21
"scene",1,"bubble","hexagonal","2x2",100,1,0.1,0.01,0,0.381615138685398,7.23
"scene",1,"bubble","hexagonal","2x2",500,1,0.1,0.01,0,0.38079702200136,7.29
"scene",1,"bubble","hexagonal","2x2",1000,1,0.1,0.01,0,0.379237897748076,7.38
"scene",1,"bubble","hexagonal","2x2",100,1.5,0.1,0.01,0,0.366490703843935,7.39
"scene",1,"bubble","hexagonal","2x2",500,1.5,0.1,0.01,0,0.372222627541929,7.44
"scene",1,"bubble","hexagonal","2x2",1000,1.5,0.1,0.01,0,0.373398585887229,7.55
"emotions",2,"gaussian","rectangular","2x2",100,1,0.05,0.005,0,0.587829748476944,7.55
"emotions",2,"gaussian","rectangular","2x2",500,1,0.05,0.005,0,0.587171356466467,7.57
"emotions",2,"gaussian","rectangular","2x2",1000,1,0.05,0.005,0,0.579612379350556,7.59
"emotions",2,"gaussian","rectangular","2x2",100,1.5,0.05,0.005,0,0.622060274997882,7.6
"emotions",2,"gaussian","rectangular","2x2",500,1.5,0.05,0.005,0,0.589703921148951,7.62
"emotions",2,"gaussian","rectangular","2x2",1000,1.5,0.05,0.005,0,0.588970615403122,7.64
"emotions",2,"gaussian","rectangular","2x2",100,1,0.1,0.005,0,0.577408743600799,7.66
"emotions",2,"gaussian","rectangular","2x2",500,1,0.1,0.005,0,0.578397289694191,7.68
"emotions",2,"gaussian","rectangular","2x2",1000,1,0.1,0.005,0,0.574677895580473,7.7
"emotions",2,"gaussian","rectangular","2x2",100,1.5,0.1,0.005,0,0.581496831250987,7.7
"emotions",2,"gaussian","rectangular","2x2",500,1.5,0.1,0.005,0,0.586052123765866,7.72
"emotions",2,"gaussian","rectangular","2x2",1000,1.5,0.1,0.005,0,0.571679897203065,7.74
"emotions",2,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.570160396086698,7.75
"emotions",2,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.573590787542028,7.76
"emotions",2,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.578529967737667,7.78
"emotions",2,"gaussian","rectangular","2x2",100,1.5,0.05,0.01,0,0.574034494417428,7.79
"emotions",2,"gaussian","rectangular","2x2",500,1.5,0.05,0.01,0,0.585645621262822,7.81
"emotions",2,"gaussian","rectangular","2x2",1000,1.5,0.05,0.01,0,0.576722510540087,7.83
"emotions",2,"gaussian","rectangular","2x2",100,1,0.1,0.01,0,0.582835892358573,7.84
"emotions",2,"gaussian","rectangular","2x2",500,1,0.1,0.01,0,0.571202012488349,7.85
"emotions",2,"gaussian","rectangular","2x2",1000,1,0.1,0.01,0,0.574429993312292,7.88
"emotions",2,"gaussian","rectangular","2x2",100,1.5,0.1,0.01,0,0.589926675561387,7.88
"emotions",2,"gaussian","rectangular","2x2",500,1.5,0.1,0.01,0,0.575455670376569,7.9
"emotions",2,"gaussian","rectangular","2x2",1000,1.5,0.1,0.01,0,0.578046132595646,7.92
"emotions",2,"gaussian","hexagonal","2x2",100,1,0.05,0.005,0,0.575650297330976,7.93
"emotions",2,"gaussian","hexagonal","2x2",500,1,0.05,0.005,0,0.560380916115621,7.94
"emotions",2,"gaussian","hexagonal","2x2",1000,1,0.05,0.005,0,0.562074232695571,7.96
"emotions",2,"gaussian","hexagonal","2x2",100,1.5,0.05,0.005,0,0.536141009175566,7.97
"emotions",2,"gaussian","hexagonal","2x2",500,1.5,0.05,0.005,0,0.547080455575634,7.98
"emotions",2,"gaussian","hexagonal","2x2",1000,1.5,0.05,0.005,0,0.541456164775376,8.01
"emotions",2,"gaussian","hexagonal","2x2",100,1,0.1,0.005,0,0.559609097169568,8.02
"emotions",2,"gaussian","hexagonal","2x2",500,1,0.1,0.005,0,0.539233439826647,8.03
"emotions",2,"gaussian","hexagonal","2x2",1000,1,0.1,0.005,0,0.539747884392071,8.06
"emotions",2,"gaussian","hexagonal","2x2",100,1.5,0.1,0.005,0,0.543333423481086,8.06
"emotions",2,"gaussian","hexagonal","2x2",500,1.5,0.1,0.005,0,0.532864078297808,8.08
"emotions",2,"gaussian","hexagonal","2x2",1000,1.5,0.1,0.005,0,0.534269353910972,8.1
"emotions",2,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.564786598452483,8.11
"emotions",2,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.575457018658303,8.12
"emotions",2,"gaussian","hexagonal","2x2",1000,1,0.05,0.01,0,0.545960701562289,8.15
"emotions",2,"gaussian","hexagonal","2x2",100,1.5,0.05,0.01,0,0.544330074582712,8.16
"emotions",2,"gaussian","hexagonal","2x2",500,1.5,0.05,0.01,0,0.549632683962317,8.18
"emotions",2,"gaussian","hexagonal","2x2",1000,1.5,0.05,0.01,0,0.542976499149532,8.21
"emotions",2,"gaussian","hexagonal","2x2",100,1,0.1,0.01,0,0.551755712876639,8.22
"emotions",2,"gaussian","hexagonal","2x2",500,1,0.1,0.01,0,0.561868032362955,8.23
"emotions",2,"gaussian","hexagonal","2x2",1000,1,0.1,0.01,0,0.558690069552025,8.26
"emotions",2,"gaussian","hexagonal","2x2",100,1.5,0.1,0.01,0,0.540786514901022,8.26
"emotions",2,"gaussian","hexagonal","2x2",500,1.5,0.1,0.01,0,0.551638781860524,8.28
"emotions",2,"gaussian","hexagonal","2x2",1000,1.5,0.1,0.01,0,0.542933967453788,8.3
"emotions",2,"bubble","rectangular","2x2",100,1,0.05,0.005,0,0.462720124653259,8.31
"emotions",2,"bubble","rectangular","2x2",500,1,0.05,0.005,0,0.462118792943611,8.32
"emotions",2,"bubble","rectangular","2x2",1000,1,0.05,0.005,0,0.476289364796477,8.34
"emotions",2,"bubble","rectangular","2x2",100,1.5,0.05,0.005,0,0.461518246520693,8.34
"emotions",2,"bubble","rectangular","2x2",500,1.5,0.05,0.005,0,0.479553182102334,8.35
"emotions",2,"bubble","rectangular","2x2",1000,1.5,0.05,0.005,0,0.481685244586178,8.38
"emotions",2,"bubble","rectangular","2x2",100,1,0.1,0.005,0,0.476262728760133,8.38
"emotions",2,"bubble","rectangular","2x2",500,1,0.1,0.005,0,0.461449734928415,8.4
"emotions",2,"bubble","rectangular","2x2",1000,1,0.1,0.005,0,0.475411051012329,8.42
"emotions",2,"bubble","rectangular","2x2",100,1.5,0.1,0.005,0,0.494448186391914,8.42
"emotions",2,"bubble","rectangular","2x2",500,1.5,0.1,0.005,0,0.461608886333238,8.43
"emotions",2,"bubble","rectangular","2x2",1000,1.5,0.1,0.005,0,0.461002856999781,8.46
"emotions",2,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.477673934005987,8.46
"emotions",2,"bubble","rectangular","2x2",500,1,0.05,0.01,0,0.464168291035048,8.48
"emotions",2,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.461861882441732,8.5
"emotions",2,"bubble","rectangular","2x2",100,1.5,0.05,0.01,0,0.47998936056712,8.5
"emotions",2,"bubble","rectangular","2x2",500,1.5,0.05,0.01,0,0.461007888139235,8.52
"emotions",2,"bubble","rectangular","2x2",1000,1.5,0.05,0.01,0,0.48118381539363,8.54
"emotions",2,"bubble","rectangular","2x2",100,1,0.1,0.01,0,0.464066672487146,8.54
"emotions",2,"bubble","rectangular","2x2",500,1,0.1,0.01,0,0.46152292926551,8.55
"emotions",2,"bubble","rectangular","2x2",1000,1,0.1,0.01,0,0.481371993701822,8.57
"emotions",2,"bubble","rectangular","2x2",100,1.5,0.1,0.01,0,0.462411665674745,8.58
"emotions",2,"bubble","rectangular","2x2",500,1.5,0.1,0.01,0,0.458886140189898,8.59
"emotions",2,"bubble","rectangular","2x2",1000,1.5,0.1,0.01,0,0.463340061120522,8.61
"emotions",2,"bubble","hexagonal","2x2",100,1,0.05,0.005,0,0.461726309601675,8.63
"emotions",2,"bubble","hexagonal","2x2",500,1,0.05,0.005,0,0.457826433252656,8.64
"emotions",2,"bubble","hexagonal","2x2",1000,1,0.05,0.005,0,0.460646061669802,8.66
"emotions",2,"bubble","hexagonal","2x2",100,1.5,0.05,0.005,0,0.492605702172363,8.67
"emotions",2,"bubble","hexagonal","2x2",500,1.5,0.05,0.005,0,0.479295276325551,8.68
"emotions",2,"bubble","hexagonal","2x2",1000,1.5,0.05,0.005,0,0.456360275017887,8.7
"emotions",2,"bubble","hexagonal","2x2",100,1,0.1,0.005,0,0.47883892605835,8.7
"emotions",2,"bubble","hexagonal","2x2",500,1,0.1,0.005,0,0.476970712812647,8.71
"emotions",2,"bubble","hexagonal","2x2",1000,1,0.1,0.005,0,0.458384489768155,8.73
"emotions",2,"bubble","hexagonal","2x2",100,1.5,0.1,0.005,0,0.493709089065705,8.74
"emotions",2,"bubble","hexagonal","2x2",500,1.5,0.1,0.005,0,0.479510103300569,8.75
"emotions",2,"bubble","hexagonal","2x2",1000,1.5,0.1,0.005,0,0.492744399541169,8.77
"emotions",2,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.462090441587152,8.77
"emotions",2,"bubble","hexagonal","2x2",500,1,0.05,0.01,0,0.462373390355045,8.79
"emotions",2,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.457294052935001,8.81
